Base SKU,Assigned To Handles/Sizes,Total Variants
G07V1REDXL,"organic-bamboo-women-lounge-joggers-red (size XL); organic-bamboo-men-lounge-joggers-red (size XL)",2
G07V1PNKXS,"organic-bamboo-women-lounge-joggers-pink (size XS); organic-bamboo-men-lounge-joggers-pink (size XS)",2
G07V1PNKS,"organic-bamboo-women-lounge-joggers-pink (size S); organic-bamboo-men-lounge-joggers-pink (size S)",2
G07V1PNKM,"organic-bamboo-women-lounge-joggers-pink (size M); organic-bamboo-men-lounge-joggers-pink (size M)",2
G07V1PNKL,"organic-bamboo-women-lounge-joggers-pink (size L); organic-bamboo-men-lounge-joggers-pink (size L)",2
G07V1PNKXL,"organic-bamboo-women-lounge-joggers-pink (size XL); organic-bamboo-men-lounge-joggers-pink (size XL)",2
G07V1PLXS,"organic-bamboo-women-lounge-joggers-pale-lavender (size XS); organic-bamboo-men-lounge-joggers-pale-lavender (size XS)",2
G07V1PLS,"organic-bamboo-women-lounge-joggers-pale-lavender (size S); organic-bamboo-men-lounge-joggers-pale-lavender (size S)",2
G07V1PLM,"organic-bamboo-women-lounge-joggers-pale-lavender (size M); organic-bamboo-men-lounge-joggers-pale-lavender (size M)",2
G07V1PLL,"organic-bamboo-women-lounge-joggers-pale-lavender (size L); organic-bamboo-men-lounge-joggers-pale-lavender (size L)",2
G07V1PLXL,"organic-bamboo-women-lounge-joggers-pale-lavender (size XL); organic-bamboo-men-lounge-joggers-pale-lavender (size XL)",2
G07V1PBXS,"organic-bamboo-women-lounge-joggers-pale-blue (size XS); organic-bamboo-men-lounge-joggers-pale-blue (size XS)",2
G07V1PBS,"organic-bamboo-women-lounge-joggers-pale-blue (size S); organic-bamboo-men-lounge-joggers-pale-blue (size S)",2
G07V1PBM,"organic-bamboo-women-lounge-joggers-pale-blue (size M); organic-bamboo-men-lounge-joggers-pale-blue (size M)",2
G07V1PBL,"organic-bamboo-women-lounge-joggers-pale-blue (size L); organic-bamboo-men-lounge-joggers-pale-blue (size L)",2
G07V1PBXL,"organic-bamboo-women-lounge-joggers-pale-blue (size XL); organic-bamboo-men-lounge-joggers-pale-blue (size XL)",2
G07V1NBXS,"organic-bamboo-women-lounge-joggers-navy-blue (size XS); organic-bamboo-men-lounge-joggers-navy-blue (size XS)",2
G07V1NBS,"organic-bamboo-women-lounge-joggers-navy-blue (size S); organic-bamboo-men-lounge-joggers-navy-blue (size S)",2
G07V1NBM,"organic-bamboo-women-lounge-joggers-navy-blue (size M); organic-bamboo-men-lounge-joggers-navy-blue (size M)",2
